date,title,amount
2026-02-28,Netflix.Com,20.90
2026-02-28,Kyoto Sushi,71.22
2026-02-28,Super Bom,46.38
2026-02-28,Ifd*Ifood Club,7.95
2026-02-27,Super Bom,290.18
2026-02-27,Kyoto Sushi,79.13
2026-02-27,Auto Posto Combustivei,200.00
2026-02-25,Ifd*Ifood Club,6.99
2026-02-25,Construisa,91.40
2026-02-25,Super Bom,69.39
2026-02-24,Super Bom,116.82
2026-02-24,Pg *Auvp Auvpsemre,548.90
2026-02-24,Applecombill,19.90
2026-02-22,Super Bom,83.65
2026-02-22,Kyoto Sushi,102.39
2026-02-22,Claro Flex,39.99
2026-02-21,Supermercados Bh,146.30
2026-02-21,Super Bom,265.94
2026-02-19,Mercadolivre*Tapcamp,139.21
2026-02-18,Pg *Filipe Deschamps T,215.58
2026-02-18,Super Bom,82.92
2026-02-18,Auto Posto Combustivei,100.00
2026-02-17,Pagamento*Borem Empree,469.70
2026-02-15,Super Bom,93.85
2026-02-15,Supermercados Bh,70.78
2026-02-15,Pg *Bordados Freitas &,367.50
2026-02-15,Pagamento*Borem Empree,65.74
2026-02-14,Super Bom,186.17
2026-02-13,Pet Love*Order,115.52
2026-02-13,Drogaria Minas Brasil,142.32
2026-02-12,Ajuste a crédito,-1.87
2026-02-12,IOF de compra internacional,1.87
2026-02-12,Trae,53.48
2026-02-11,Churrascaria C Brasao,31.55
2026-02-11,Auto Posto Combustivei,100.00
2026-02-09,Raia Drogasil,288.78
2026-02-08,Pagamento recebido,-5450.46
2026-02-07,Applecombill,19.90
2026-02-06,Ifd*Leticia Lorrany,54.89
2026-02-06,Cruzeiroec,100.00
2026-02-06,Amazonprimebr,19.90
2026-02-05,Google Youtube,26.90
2026-02-04,Frama Dias - Parcela 4/10,320.30
2026-02-04,Ifd*Leticia Lorrany,56.89
2026-02-04,Frama Dias - Parcela 2/10,542.95
2026-02-04,Htm *Teacherpoli - Parcela 2/12,49.00
2026-02-04,Ifd*54.609.258 Joao Ma,34.49
2026-02-04,Gamma Sport - Parcela 3/3,221.00
2026-02-04,Fesolo Idiomas - Parcela 2/10,179.70
2026-02-04,Petlove*Clube 573iipe - Parcela 7/12,9.99
2026-02-04,e-Commerce - Parcela 2/10,83.80
