date;title;amount
28/02/26;Netflix.Com;20,90
28/02/26;Kyoto Sushi;71,22
28/02/26;Super Bom;46,38
28/02/26;Ifd*Ifood Club;7,95
27/02/26;Super Bom;290,18
27/02/26;Kyoto Sushi;79,13
27/02/26;Auto Posto Combustivei;200,00
25/02/26;Ifd*Ifood Club;6,99
25/02/26;Construisa;91,40
25/02/26;Super Bom;69,39
24/02/26;Super Bom;116,82
24/02/26;Pg *Auvp Auvpsemre;548,90
24/02/26;Applecombill;19,90
22/02/26;Super Bom;83,65
22/02/26;Kyoto Sushi;102,39
22/02/26;Claro Flex;39,99
21/02/26;Supermercados Bh;146,30
21/02/26;Super Bom;265,94
19/02/26;Mercadolivre*Tapcamp;139,21
18/02/26;Pg *Filipe Deschamps T;215,58
18/02/26;Super Bom;82,92
18/02/26;Auto Posto Combustivei;100,00
17/02/26;Pagamento*Borem Empree;469,70
15/02/26;Super Bom;93,85
15/02/26;Supermercados Bh;70,78
15/02/26;Pg *Bordados Freitas &;367,50
15/02/26;Pagamento*Borem Empree;65,74
14/02/26;Super Bom;186,17
13/02/26;Pet Love*Order;115,52
13/02/26;Drogaria Minas Brasil;142,32
12/02/26;Ajuste a crédito;-1,87
12/02/26;IOF de compra internacional;1,87
12/02/26;Trae;53,48
11/02/26;Churrascaria C Brasao;31,55
11/02/26;Auto Posto Combustivei;100,00
09/02/26;Raia Drogasil;288,78
08/02/26;Pagamento recebido;-5450,46
07/02/26;Applecombill;19,90
06/02/26;Ifd*Leticia Lorrany;54,89
06/02/26;Cruzeiroec;100,00
06/02/26;Amazonprimebr;19,90
05/02/26;Google Youtube;26,90
04/02/26;Frama Dias - Parcela 4/10;320,30
04/02/26;Ifd*Leticia Lorrany;56,89
04/02/26;Frama Dias - Parcela 2/10;542,95
04/02/26;Htm *Teacherpoli - Parcela 2/12;49,00
04/02/26;Ifd*54.609.258 Joao Ma;34,49
04/02/26;Gamma Sport - Parcela 3/3;221,00
04/02/26;Fesolo Idiomas - Parcela 2/10;179,70
04/02/26;Petlove*Clube 573iipe - Parcela 7/12;9,99
04/02/26;e-Commerce - Parcela 2/10;83,80
